gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
ENSG00000268434,ENSG00000268434,,0.0,0.2060397783041218,-1.0,-0.6858381953577769
SSX2B,ENSG00000268447,,0.0,1.7560772143990173e-07,-1.0,-3.999238014213283
ENSG00000268465,ENSG00000268465,,0.0,0.0051825953718722,-1.0,-2.277152653460897
NFILZ,ENSG00000268480,,0.2,0.0002072596911498,-0.5228787452803375,-3.5124944103243187
SIGLEC5,ENSG00000268500,,1.9,0.027140455040685,0.3010299956639812,-1.5647856419865678
ENSG00000268533,ENSG00000268533,,0.5,0.0160133888882755,-0.2218487496163564,-1.792813111306498
MAGEA2,ENSG00000268606,,0.0,3.705248380581092e-07,-1.0,-3.998393804915893
TEX13A,ENSG00000268629,,0.0,4.219654921526379e-06,-1.0,-3.982050369145894
ENSG00000268643,ENSG00000268643,,1.5,0.0159279424083487,0.2041199826559248,-1.7951222267447846
CTAG1A,ENSG00000268651,,0.0,3.721155149484571e-06,-1.0,-3.9841326551088825
SAXO3,ENSG00000268655,,0.0,0.0003185966444336,-1.0,-3.3782042573872326
ZNF723,ENSG00000268696,,0.0,3.5388820077552e-05,-1.0,-3.868417196648597
HSFX2,ENSG00000268738,,0.4,0.0187442288203685,-0.3010299956639812,-1.7248216308814774
ENSG00000268750,ENSG00000268750,,1.6,0.049402702155634,0.2304489213782739,-1.3053710940108494
ENSG00000268790,ENSG00000268790,,0.0,0.0940950663084023,-1.0,-1.0259718438222944
H3Y2,ENSG00000268799,,0.0,4.975977722695993e-06,-1.0,-3.978910071749853
ENSG00000268870,ENSG00000268870,,0.6,0.0121913848358383,-0.1549019599857432,-1.9103991836163023
CSAG2,ENSG00000268902,bottom500,0.0,7.82072128686366e-06,-1.0,-3.9672977672035703
CSAG3,ENSG00000268916,,0.1,1.1365425629499533e-05,-0.6989700043360187,-3.9532496187576456
CT45A1,ENSG00000268940,,0.0,1.97930896034199e-06,-1.0,-3.991487935256632
ERVV-2,ENSG00000268964,,0.0,1.1556968143352427e-05,-1.0,-3.9525032973506313
SPANXN2,ENSG00000268988,,0.0,3.2626813950935307e-06,-1.0,-3.986056601930928
FAM236B,ENSG00000268994,,0.0,4.031220875225143e-06,-1.0,-3.982836304749115
ENSG00000269026,ENSG00000269026,,0.0,0.0215372847207097,-1.0,-1.6647972400904587
ENSG00000269035,ENSG00000269035,,0.0,7.947287149432499e-05,-1.0,-3.7460011885938367
CALR3,ENSG00000269058,bottom500,0.0,0.0014460700849004,-1.0,-2.810770822969041
ZNF728,ENSG00000269067,,0.1,0.0010606795473353,-0.6989700043360187,-2.9352876683183577
ENSG00000269095,ENSG00000269095,,0.6,0.0187303053241837,-0.1549019599857432,-1.7251426380538004
CT45A3,ENSG00000269096,,0.0,1.8225194947468357e-07,-1.0,-3.9992092102364607
TRABD2B,ENSG00000269113,,3.9,0.0053201663401497,0.6020599913279624,-2.2659873851404653
FBXO17,ENSG00000269190,,70.5,0.2408360204209608,1.848804701051804,-0.6180982672468386
TMSB15C,ENSG00000269226,,0.3,0.0002564444606802,-0.3979400086720376,-3.4480081300454377
MAGIX,ENSG00000269313,,19.0,0.1283979855467257,1.2810333672477277,-0.8911036806813143
IKBKG,ENSG00000269335,,62.5,0.0773063601826187,1.7965743332104296,-1.1112233535453666
ZNF587B,ENSG00000269343,,5.9,0.0495702433584134,0.7781512503836436,-1.3039037121820032
SPIB,ENSG00000269404,,0.5,0.0314988533633456,-0.2218487496163564,-1.5003286764640893
NXF2,ENSG00000269405,,0.0,1.068274251347018e-06,-1.0,-3.995385149848004
OPN1MW3,ENSG00000269433,,0.0,8.695443752568594e-08,-1.0,-3.99962252576758
NXF2B,ENSG00000269437,,0.0,2.4738972778877057e-06,-1.0,-3.9893867464313697
H3Y1,ENSG00000269466,,0.0,6.831755619091084e-06,-1.0,-3.971299634571369
DMRTC1,ENSG00000269502,,0.0,4.7896243895648534e-05,-1.0,-3.830042855591394
ERVV-1,ENSG00000269526,,0.0,8.685794619930731e-05,-1.0,-3.728488428897389
ENSG00000269533,ENSG00000269533,,0.0,0.0292711375957767,-1.0,-1.5320792321629133
ENSG00000269547,ENSG00000269547,,0.0,0.2211966870139561,-1.0,-0.6550250877551981
TMEM185A,ENSG00000269556,,8.3,0.0346494904659315,0.9242792860618816,-1.4590515591157855
CT45A10,ENSG00000269586,,0.0,2.36463054107496e-06,-1.0,-3.9898500767028726
ENSG00000269590,ENSG00000269590,,0.0,1.2807938274873512,-1.0,0.1075131328302905
ZIM2,ENSG00000269699,,0.0,0.2661996540462713,-1.0,-0.5746293977589295
ENSG00000269711,ENSG00000269711,,1.7,0.0406981191514003,0.255272505103306,-1.3893598580129785
NBPF9,ENSG00000269713,,63.6,0.0171618162120748,1.8041394323353503,-1.7629135116691812
CCDC194,ENSG00000269720,,0.1,0.0062020481859337,-0.6989700043360187,-2.2005182805011008
SLC25A53,ENSG00000269743,,0.1,0.0107690859348572,-0.6989700043360187,-1.9638069775456677
SSX4B,ENSG00000269791,,0.0,5.388432527020327e-07,-1.0,-3.9976661158441527
ENSG00000269825,ENSG00000269825,,0.2,0.0087193860656508,-0.5228787452803375,-2.0545616458863374
EGLN2,ENSG00000269858,,56.7,0.4356033041816269,1.754348335711019,-0.3608091465540175
COMMD3-BMI1,ENSG00000269897,,0.5,0.1995070821529709,-0.2218487496163564,-0.6998240538032056
FMC1-LUC7L2,ENSG00000269955,,17.0,0.15868713152423,1.2329961103921538,-0.7991846967103848
MEI4,ENSG00000269964,,0.8,0.0016191069803009,-0.0457574905606751,-2.764697096257283
